name,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
Florian Grillitsch,50000,2600000,26538.46153846154,1380000,41660.653846153844,2166354,22112.19230769231,1149834,56606.11538461538,2943518,30044.78846153846,1562329,1-yr,2600000,1380000,2166354,1149834,2943518,1562329,Reserve,M,DM,26,Austria,Hoffenheim
Karim Bellarabi,50000,2600000,26538.46153846154,1380000,41660.653846153844,2166354,22112.19230769231,1149834,56606.11538461538,2943518,30044.78846153846,1562329,2-yrs,5200000,2760000,4332707,2299668,5887036,3124658,Starter,F,RW,31,Germany,Bayer Leverkusen
Kingsley Schindler,49423.07692307692,2570000,26153.846153846152,1360000,41179.942307692305,2141357,21791.73076923077,1133170,55952.96153846154,2909554,29609.346153846152,1539686,2-yrs,5140000,2720000,4282715,2266339,5819109,3079373,Reserve,F,RW,28,Germany,Koln
Jonas Hofmann,48076.92307692308,2500000,25576.923076923078,1330000,40058.307692307695,2083032,21311.01923076923,1108173,54428.96153846154,2830306,28956.21153846154,1505723,2-yrs,5000000,2660000,4166065,2216347,5660612,3011445,Starter,F,RW,29,Germany,Monchengladbach
Willi Orbán,48076.92307692308,2500000,25576.923076923078,1330000,40058.307692307695,2083032,21311.01923076923,1108173,54428.96153846154,2830306,28956.21153846154,1505723,4-yrs,10000000,5320000,8332130,4432693,11321223,6022891,Starter,D,CB,29,Hungary,Leipzig
Dodi Lukébakio,48076.92307692308,2500000,25576.923076923078,1330000,40058.307692307695,2083032,21311.01923076923,1108173,54428.96153846154,2830306,28956.21153846154,1505723,1-yr,2500000,1330000,2083032,1108173,2830306,1505723,Reserve,F,RW,24,Belgium,Wolfsburg
Sven Ulreich,48076.92307692308,2500000,25576.923076923078,1330000,40058.307692307695,2083032,21311.01923076923,1108173,54428.96153846154,2830306,28956.21153846154,1505723,1-yr,2500000,1330000,2083032,1108173,2830306,1505723,Reserve,K,GK,33,Germany,Bayern Munich
Konrad Laimer,48076.92307692308,2500000,25576.923076923078,1330000,40058.307692307695,2083032,21311.01923076923,1108173,54428.96153846154,2830306,28956.21153846154,1505723,2-yrs,5000000,2660000,4166065,2216347,5660612,3011445,Starter,M,CM,24,Austria,Leipzig
Manuel Akanji,48076.92307692308,2500000,25576.923076923078,1330000,40058.307692307695,2083032,21311.01923076923,1108173,54428.96153846154,2830306,28956.21153846154,1505723,2-yrs,5000000,2660000,4166065,2216347,5660612,3011445,Starter,D,CB,26,Switzerland,Borussia Dortmund
Timo Horn,48076.92307692308,2500000,25576.923076923078,1330000,40058.307692307695,2083032,21311.01923076923,1108173,54428.96153846154,2830306,28956.21153846154,1505723,2-yrs,5000000,2660000,4166065,2216347,5660612,3011445,Reserve,K,GK,28,Germany,Koln
Dedryck Boyata,46153.846153846156,2400000,24423.076923076922,1270000,38455.980769230766,1999711,20349.615384615383,1058180,52251.807692307695,2717094,27649.903846153848,1437795,3-yrs,7200000,3810000,5999133,3174541,8151281,4313386,Reserve,D,CB,31,Belgium,Hertha Berlin
Vladimir Darida,46153.846153846156,2400000,24423.076923076922,1270000,38455.980769230766,1999711,20349.615384615383,1058180,52251.807692307695,2717094,27649.903846153848,1437795,2-yrs,4800000,2540000,3999422,2116361,5434187,2875591,Starter,M,CM,31,Czech Republic,Hertha Berlin
Lukas Hradecky,46153.846153846156,2400000,24423.076923076922,1270000,38455.980769230766,1999711,20349.615384615383,1058180,52251.807692307695,2717094,27649.903846153848,1437795,2-yrs,4800000,2540000,3999422,2116361,5434187,2875591,Reserve,K,GK,32,Finland,Bayer Leverkusen
Stefan Lainer,44230.769230769234,2300000,23461.53846153846,1220000,36853.653846153844,1916390,19548.46153846154,1016520,50074.63461538462,2603881,26561.326923076922,1381189,3-yrs,6900000,3660000,5749169,3049559,7811644,4143568,Starter,D,RB,29,Austria,Monchengladbach
Julian Baumgartlinger,44230.769230769234,2300000,23461.53846153846,1220000,36853.653846153844,1916390,19548.46153846154,1016520,50074.63461538462,2603881,26561.326923076922,1381189,1-yr,2300000,1220000,1916390,1016520,2603881,1381189,Reserve,M,DM,34,Austria,Bayer Leverkusen
Marwin Hitz,42307.692307692305,2200000,22500,1170000,35251.32692307692,1833069,18747.28846153846,974859,47897.480769230766,2490669,25472.75,1324583,2-yrs,4400000,2340000,3666137,1949718,4981338,2649166,Reserve,K,GK,34,Switzerland,Borussia Dortmund
Yann Sommer,42307.692307692305,2200000,22500,1170000,35251.32692307692,1833069,18747.28846153846,974859,47897.480769230766,2490669,25472.75,1324583,2-yrs,4400000,2340000,3666137,1949718,4981338,2649166,Starter,K,GK,33,Switzerland,Monchengladbach
