,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
79,Chiquinho\dc6c2f02,pt POR,MFDF,Wolves,22-042,2000,4,0,51,0.6,0,1,0,0,0,0,0,0.00,1.76,1.76,0.00,1.76,0.3,0.3,0.1,0.3,0.45,0.13,0.59,0.45,0.59,Matches
80,Hamza Choudhury\7d2d3329,eng ENG,DFMF,Leicester City,24-169,1997,5,4,284,3.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
81,Andreas Christensen\1cb49278,dk DEN,DF,Chelsea,25-343,1996,16,14,1271,14.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.7,0.03,0.02,0.05,0.03,0.05,Matches
82,Carney Chukwuemeka\b2f9c73e,eng ENG,MFFW,Aston Villa,18-071,2004,9,1,194,2.2,0,1,0,0,0,0,0,0.00,0.46,0.46,0.00,0.46,0.5,0.5,1.0,1.5,0.22,0.46,0.67,0.22,0.67,Matches
83,Ciaran Clark\2b91cf8e,ie IRL,DF,Newcastle Utd,32-174,1989,13,12,1014,11.3,0,1,0,0,0,2,1,0.00,0.09,0.09,0.00,0.09,0.8,0.8,0.3,1.1,0.07,0.03,0.10,0.07,0.10,Matches
84,Tom Cleverley\6cdd8245,eng ENG,MF,Watford,32-219,1989,23,17,1365,15.2,0,2,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13,0.8,0.8,1.5,2.3,0.05,0.10,0.15,0.05,0.15,Matches
85,Nathaniel Clyne\0442183b,eng ENG,DF,Crystal Palace,30-348,1991,7,6,541,6.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.00,0.01,0.01,0.00,0.01,Matches
86,Conor Coady\2928dca2,eng ENG,DF,Wolves,29-022,1993,30,30,2686,29.8,3,0,3,0,0,2,0,0.10,0.00,0.10,0.10,0.10,1.8,1.8,0.0,1.8,0.06,0.00,0.06,0.06,0.06,Matches
87,Séamus Coleman\0420d84f,ie IRL,DF,Everton,33-159,1988,22,22,1943,21.6,1,0,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,1.0,1.0,1.0,2.0,0.05,0.04,0.09,0.05,0.09,Matches
88,Nathan Collins\a8c19eb8,ie IRL,DF,Burnley,20-323,2001,9,8,770,8.6,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.8,0.05,0.05,0.10,0.05,0.10,Matches
89,Aaron Connolly\27c01749,ie IRL,FW,Brighton,22-050,2000,4,1,156,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.4,0.8,0.26,0.20,0.47,0.26,0.47,Matches
90,Liam Cooper\dc64b8b3,sct SCO,DF,Leeds United,30-201,1991,15,15,1274,14.2,0,1,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,0.2,0.2,0.0,0.3,0.02,0.00,0.02,0.02,0.02,Matches
91,Jack Cork\74e12f1e,eng ENG,MF,Burnley,32-267,1989,11,11,880,9.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.01,0.01,0.02,0.01,0.02,Matches
92,Maxwel Cornet\beb391dd,ci CIV,FWMF,Burnley,25-173,1996,17,14,1097,12.2,6,0,6,0,0,2,0,0.49,0.00,0.49,0.49,0.49,3.0,3.0,0.7,3.7,0.25,0.05,0.30,0.25,0.30,Matches
93,Hélder Costa\f13d02a6,ao ANG,MF,Leeds United,28-066,1994,1,0,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.11,0.00,0.11,0.11,0.11,Matches
94,Vladimír Coufal\fdf3cb77,cz CZE,DF,West Ham,29-209,1992,22,19,1679,18.7,0,3,0,0,0,4,1,0.00,0.16,0.16,0.00,0.16,0.6,0.6,2.1,2.7,0.03,0.11,0.15,0.03,0.15,Matches
95,Philippe Coutinho\0ef89a37,br BRA,FWMF,Aston Villa,29-280,1992,9,8,684,7.6,4,3,4,0,0,0,0,0.53,0.39,0.92,0.53,0.92,3.3,3.3,2.3,5.6,0.43,0.31,0.73,0.43,0.73,Matches
96,Aaron Cresswell\4f974391,eng ENG,DF,West Ham,32-094,1989,22,22,1916,21.3,1,3,1,0,0,1,0,0.05,0.14,0.19,0.05,0.19,0.7,0.7,2.5,3.2,0.03,0.12,0.15,0.03,0.15,Matches
97,Charlie Cresswell\4654e5f5,eng ENG,DF,Leeds United,19-102,2002,5,1,141,1.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.05,0.00,0.05,0.05,0.05,Matches
