,Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Matches,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
230,290,Romelu Lukaku,be BEL,FW,Chelsea,28-310,1993.0,19,12,1212,13.5,5,0,5,0,0,0,0,0.37,0.0,0.37,0.37,0.37,4.5,4.5,2.2,6.7,0.34,0.16,0.5,0.34,0.5,Matches,503611.2307692308,26187784,276963.0961538461,14402081,419615.3846153846,21820000,230769.2307692308,12000000,570149.4615384615,29647772,313556.07692307694,16304916,5-yrs,130938918,72010404,109100000,60000000,148238861,81524580,Starter,F,CF,28,Belgium,Chelsea
231,291,Lyanco,br BRA,DF,Southampton,25-046,1997.0,11,5,551,6.1,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.03,0.02,0.05,0.03,0.05,Matches,57700.65384615384,3000434,31850.75,1656239,48076.92307692308,2500000,26538.46153846154,1380000,65324.19230769231,3396858,36058.94230769231,1875065,4-yrs,12001734,6624957,10000000,5520000,13587430,7500261,Reserve,D,CB,25,Brazil,Southampton
232,292,Alexis Mac Allister,ar ARG,MFFW,Brighton,23-085,1998.0,24,13,1337,14.9,4,2,3,1,1,3,0,0.27,0.13,0.4,0.2,0.34,3.3,2.6,1.1,3.7,0.23,0.08,0.3,0.17,0.25,Matches,36928.40384615384,1920277,20310.634615384617,1056153,30769.23076923077,1600000,16923.076923076922,880000,41807.480769230766,2173989,22994.115384615383,1195694,2-yrs,3840555,2112305,3200000,1760000,4347978,2391388,Starter,F,AM,23,Argentina,Brighton
233,293,James Maddison,eng ENG,MFFW,Leicester City,25-116,1996.0,25,19,1629,18.1,7,3,7,0,0,2,0,0.39,0.17,0.55,0.39,0.55,5.5,5.5,2.7,8.2,0.3,0.15,0.45,0.3,0.45,Matches,132019.07692307694,6864992,72702.80769230769,3780546,110000.0,5720000,60576.92307692308,3150000,149461.73076923078,7772010,82308.46153846153,4280040,3-yrs,20594976,11341639,17160000,9450000,23316030,12840121,Starter,F,AM,25,England,Leicester
234,294,Harry Maguire,eng ENG,DF,Manchester Utd,29-014,1993.0,24,23,2044,22.7,1,0,1,0,0,9,1,0.04,0.0,0.04,0.04,0.04,1.4,1.4,0.0,1.5,0.06,0.0,0.07,0.06,0.07,Matches,228032.9423076923,11857713,125325.80769230767,6516942,190000.0,9880000,104423.07692307692,5430000,258161.17307692303,13424381,141884.11538461538,7377974,4-yrs,47430853,26067766,39520000,21720000,53697523,29511898,Starter,D,CB,28,England,Manchester United
235,295,Riyad Mahrez,dz ALG,FW,Manchester City,31-026,1991.0,22,12,1213,13.5,10,4,6,4,4,0,0,0.74,0.3,1.04,0.45,0.74,8.2,5.2,3.2,8.3,0.61,0.23,0.84,0.38,0.62,Matches,144020.8076923077,7489082,79165.28846153847,4116595,120000.0,6240000,65961.53846153847,3430000,163049.15384615384,8478556,89624.76923076923,4660488,2-yrs,14978164,8233190,12480000,6860000,16957113,9320977,Starter,F,RW,30,Algeria,Manchester City
236,297,Sadio Mané,sn SEN,FW,Liverpool,29-343,1992.0,26,25,2227,24.7,12,1,12,0,0,3,0,0.48,0.04,0.53,0.48,0.53,14.4,14.4,3.6,17.9,0.58,0.15,0.73,0.58,0.73,Matches,120017.34615384616,6240902,66009.53846153847,3432496,100000.0,5200000,55000.0,2860000,135874.3076923077,7065464,74730.86538461539,3886005,2-yrs,12481803,6864992,10400000,5720000,14130927,7772010,Starter,F,LW,29,Senegal,Liverpool
237,298,Javier Manquillo,es ESP,DF,Newcastle Utd,27-318,1994.0,18,14,1199,13.3,1,2,1,0,0,5,0,0.08,0.15,0.23,0.08,0.23,0.5,0.5,0.3,0.8,0.04,0.03,0.06,0.04,0.06,Matches,42006.07692307692,2184316,23080.25,1200173,35000.0,1820000,19230.76923076923,1000000,47556.0,2472912,26129.67307692308,1358743,3-yrs,6552947,3600520,5460000,3000000,7418737,4076229,Reserve,D,RB,27,Spain,Newcastle
238,300,Solly March,eng ENG,DFFW,Brighton,27-242,1994.0,23,11,1239,13.8,0,1,0,0,0,1,0,0.0,0.07,0.07,0.0,0.07,1.0,1.0,1.8,2.8,0.07,0.13,0.21,0.07,0.21,Matches,36005.21153846154,1872271,19849.01923076923,1032149,30000.0,1560000,16538.46153846154,860000,40762.28846153846,2119639,22471.51923076923,1168519,3-yrs,5616812,3096447,4680000,2580000,6358917,3505557,Reserve,M,LM,27,England,Brighton
239,304,Emiliano Martínez,ar ARG,GK,Aston Villa,29-198,1992.0,27,27,2430,27.0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,57008.230769230766,2964428,31389.153846153848,1632236,47500.0,2470000,26153.846153846152,1360000,64540.28846153846,3356095,35536.34615384616,1847890,6-yrs,17786570,9793415,14820000,8160000,20136571,11087343,Starter,K,GK,29,Argentina,Aston Villa
