Player,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
Nélson Semedo,92321.03846153847,4800694,50776.557692307695,2640381,76923.07692307692,4000000,42307.692307692305,2200000,104518.69230769231,5434972,57485.28846153846,2989235,2-yrs,9601387,5280763,8000000,4400000,10869944,5978469,Starter,D,RB,28,Portugal,Wolverhampton
Vicente Guaita,92321.03846153847,4800694,50776.557692307695,2640381,76923.07692307692,4000000,42307.692307692305,2200000,104518.69230769231,5434972,57485.28846153846,2989235,2-yrs,9601387,5280763,8000000,4400000,10869944,5978469,Starter,K,GK,35,Spain,Crystal Palace
Cédric Soares,90013,4680676,49622.557692307695,2580373,75000,3900000,41346.153846153844,2150000,101905.73076923077,5299098,56178.78846153846,2921297,3-yrs,14042029,7741118,11700000,6450000,15897293,8763892,Starter,D,RB,30,Portugal,Arsenal
Phil Jones,90013,4680676,49622.557692307695,2580373,75000,3900000,41346.153846153844,2150000,101905.73076923077,5299098,56178.78846153846,2921297,2-yrs,9361353,5160746,7800000,4300000,10598195,5842595,Reserve,D,CB,29,England,Manchester United
Rodrigo Bentancur,90013,4680676,49622.557692307695,2580373,75000,3900000,41346.153846153844,2150000,101905.73076923077,5299098,56178.78846153846,2921297,5-yrs,23403381,12901864,19500000,10750000,26495488,14606487,Reserve,M,CM,24,Uruguay,Tottenham
Ollie Watkins,90013,4680676,49622.557692307695,2580373,75000,3900000,41346.153846153844,2150000,101905.73076923077,5299098,56178.78846153846,2921297,4-yrs,18722705,10321491,15600000,8600000,21196391,11685190,Starter,F,CF,26,England,Aston Villa
Steven Bergwijn,90013,4680676,49622.557692307695,2580373,75000,3900000,41346.153846153844,2150000,101905.73076923077,5299098,56178.78846153846,2921297,4-yrs,18722705,10321491,15600000,8600000,21196391,11685190,Reserve,F,LW,24,Netherlands,Tottenham
Takumi Minamino,90013,4680676,49622.557692307695,2580373,75000,3900000,41346.153846153844,2150000,101905.73076923077,5299098,56178.78846153846,2921297,3-yrs,14042029,7741118,11700000,6450000,15897293,8763892,Reserve,F,LW,27,Japan,Liverpool
Emiliano Buendía,90013,4680676,49622.557692307695,2580373,75000,3900000,41346.153846153844,2150000,101905.73076923077,5299098,56178.78846153846,2921297,5-yrs,23403381,12901864,19500000,10750000,26495488,14606487,Starter,F,RW,25,Argentina,Aston Villa
Theo Walcott,90013,4680676,49622.557692307695,2580373,75000,3900000,41346.153846153844,2150000,101905.73076923077,5299098,56178.78846153846,2921297,2-yrs,9361353,5160746,7800000,4300000,10598195,5842595,Reserve,F,RW,32,England,Southampton
Jean-Philippe Gbamin,90013,4680676,49622.557692307695,2580373,75000,3900000,41346.153846153844,2150000,101905.73076923077,5299098,56178.78846153846,2921297,3-yrs,14042029,7741118,11700000,6450000,15897293,8763892,Reserve,M,DM,26,Cote d&#39;Ivoire,Everton
Abdoulaye Doucouré,90013,4680676,49622.557692307695,2580373,75000,3900000,41346.153846153844,2150000,101905.73076923077,5299098,56178.78846153846,2921297,2-yrs,9361353,5160746,7800000,4300000,10598195,5842595,Reserve,M,CM,29,France,Everton
Wilfred Ndidi,90013,4680676,49622.557692307695,2580373,75000,3900000,41346.153846153844,2150000,101905.73076923077,5299098,56178.78846153846,2921297,3-yrs,14042029,7741118,11700000,6450000,15897293,8763892,Starter,M,DM,25,Nigeria,Leicester
