Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Matches
387,Facundo Medina,ar ARG,DF,Lens,22-296,1999,25,24,2053,22.8,1,0,1,0,0,9,0,0.04,0.00,0.04,0.04,0.04,1.1,1.1,0.1,1.2,0.05,0.01,0.05,0.05,0.05,Matches
388,Farid El Melali,dz ALG,FW,Angers,24-250,1997,2,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.12,0.00,0.12,0.12,0.12,Matches
389,Birger Meling,no NOR,DF,Rennes,27-093,1994,23,18,1595,17.7,0,4,0,0,0,3,0,0.00,0.23,0.23,0.00,0.23,0.1,0.1,1.3,1.5,0.01,0.08,0.08,0.01,0.08,Matches
390,Houboulang Mendes,fr FRA,DF,Lorient,23-320,1998,27,27,2410,26.8,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,1.4,1.4,1.0,2.4,0.05,0.04,0.09,0.05,0.09,Matches
391,Nuno Mendes,pt POR,DF,Paris S-G,19-274,2002,18,12,1102,12.2,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.2,0.2,1.9,2.1,0.01,0.15,0.17,0.01,0.17,Matches
392,Thiago Mendes,br BRA,MFDF,Lyon,30-005,1992,22,14,1263,14.0,1,0,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,0.6,0.6,0.9,1.5,0.04,0.06,0.10,0.04,0.10,Matches
393,Arial Mendy,sn SEN,FWDF,Clermont Foot,27-133,1994,12,5,465,5.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,1.0,1.3,0.07,0.19,0.26,0.07,0.26,Matches
394,Batista Mendy,fr FRA,MFDF,Angers,22-067,2000,24,20,1800,20.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.4,0.7,0.01,0.02,0.04,0.01,0.04,Matches
395,Gideon Mensah,gh GHA,DF,Bordeaux,23-245,1998,16,9,831,9.2,0,1,0,0,0,0,0,0.00,0.11,0.11,0.00,0.11,0.4,0.4,0.8,1.2,0.04,0.09,0.13,0.04,0.13,Matches
396,Quentin Merlin,fr FRA,DF,Nantes,19-308,2002,19,14,1251,13.9,1,1,1,0,0,0,0,0.07,0.07,0.14,0.07,0.14,0.2,0.2,1.5,1.6,0.01,0.11,0.12,0.01,0.12,Matches
