,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
410,Baptiste Mouazan,fr FRA,MF,Lorient,20-174,2001,1.1,25,32,78.1,386,82,11,12,91.7,11,12,91.7,2,6,33.3,0,0.0,0.0,0,2,1,0,2,Matches
411,Aimen Moueffek,fr FRA,MF,Saint-Étienne,20-345,2001,4.6,196,224,87.5,3636,738,84,92,91.3,85,96,88.5,26,33,78.8,0,0.1,-0.1,2,20,2,0,19,Matches
412,Harold Moukoudi,cm CMR,DF,Saint-Étienne,24-113,1997,14.5,689,754,91.4,15872,4933,191,206,92.7,324,343,94.5,170,194,87.6,0,0.1,-0.1,1,39,1,0,29,Matches
413,Steve Mounié,bj BEN,FW,Brest,27-172,1994,18.7,314,521,60.3,4540,1109,184,272,67.6,106,184,57.6,13,30,43.3,1,0.9,+0.1,12,36,6,1,39,Matches
414,Samuel Moutoussamy,cd COD,MF,Nantes,25-220,1996,11.9,422,504,83.7,7439,1811,197,223,88.3,169,192,88.0,43,59,72.9,1,0.4,+0.6,5,27,6,1,18,Matches
415,Marshall Munetsi,zw ZIM,MFDF,Reims,25-271,1996,14.2,370,446,83.0,7231,1739,151,169,89.3,145,169,85.8,63,91,69.2,0,0.2,-0.2,3,23,0,0,19,Matches
416,Kévin N'Doram,fr FRA,MFDF,Metz,26-057,1996,8.8,251,305,82.3,5018,1209,92,113,81.4,114,132,86.4,40,50,80.0,0,0.1,-0.1,6,27,1,0,25,Matches
417,Vital N'Simba,cd COD,DF,Clermont Foot,28-255,1993,25.7,1208,1545,78.2,20426,10039,612,698,87.7,487,607,80.2,97,195,49.7,2,3.0,-1.0,22,74,34,16,135,Matches
418,Mickael Nade,fr FRA,DF,Saint-Étienne,23-016,1999,20.8,742,905,82.0,15634,4572,224,264,84.8,379,435,87.1,126,186,67.7,0,0.1,-0.1,5,39,2,0,48,Matches
419,Paul Nardi,fr FRA,GK,Lorient,27-306,1994,22.0,296,537,55.1,9649,6215,55,56,98.2,117,120,97.5,123,360,34.2,0,0.0,0.0,0,11,1,0,0,Matches
420,Keylor Navas,cr CRC,GK,Paris S-G,35-095,1986,16.7,417,458,91.0,9680,5449,121,121,100.0,187,190,98.4,108,146,74.0,0,0.0,0.0,0,0,0,0,0,Matches
