name,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
Lucas Leiva,81923.07692307692,4260000,44230.769230769234,2300000,68259.36538461539,3549487,36853.653846153844,1916390,92746.94230769231,4822841,50074.63461538462,2603881,1-yr,4260000,2300000,3549487,1916390,4822841,2603881,Starter,M,DM,35,Brazil,Lazio
Franck Kessié,78269.23076923077,4070000,42307.692307692305,2200000,65214.942307692305,3391177,35251.32692307692,1833069,88610.34615384616,4607738,47897.480769230766,2490669,1-yr,4070000,2200000,3391177,1833069,4607738,2490669,Starter,M,CM,25,Cote d&#39;Ivoire,AC Milan
Matteo Politano,78269.23076923077,4070000,42307.692307692305,2200000,65214.942307692305,3391177,35251.32692307692,1833069,88610.34615384616,4607738,47897.480769230766,2490669,3-yrs,12210000,6600000,10173530,5499206,13823213,7472007,Starter,F,RW,28,Italy,Napoli
Rick Karsdorp,78269.23076923077,4070000,42307.692307692305,2200000,65214.942307692305,3391177,35251.32692307692,1833069,88610.34615384616,4607738,47897.480769230766,2490669,4-yrs,16280000,8800000,13564707,7332274,18430951,9962676,Starter,D,RB,26,Netherlands,Roma
José Callejón,78269.23076923077,4070000,42307.692307692305,2200000,65214.942307692305,3391177,35251.32692307692,1833069,88610.34615384616,4607738,47897.480769230766,2490669,1-yr,4070000,2200000,3391177,1833069,4607738,2490669,Reserve,F,RW,34,Spain,Fiorentina
Mário Rui,74807.69230769231,3890000,40384.61538461538,2100000,62330.730769230766,3241198,33648.980769230766,1749747,84691.46153846153,4403956,45720.32692307692,2377457,4-yrs,15560000,8400000,12964794,6998989,17615823,9509827,Starter,D,LB,30,Portugal,Napoli
Lucas Torreira,74038.46153846153,3850000,57692.307692307695,3000000,61689.807692307695,3207870,48069.980769230766,2499639,83820.59615384616,4358671,65314.75,3396367,1-yr,3850000,3000000,3207870,2499639,4358671,3396367,Starter,M,DM,25,Uruguay,Fiorentina
Denis Zakaria,74038.46153846153,3850000,57692.307692307695,3000000,61689.807692307695,3207870,48069.980769230766,2499639,83820.59615384616,4358671,65314.75,3396367,5-yrs,19250000,15000000,16039350,12498195,21793354,16981834,Starter,M,DM,25,Switzerland,Juventus
Patrick Cutrone,73461.53846153847,3820000,57307.692307692305,2980000,61209.11538461538,3182874,47749.519230769234,2482975,83167.44230769231,4324707,64879.307692307695,3373724,1-yr,3820000,2980000,3182874,2482975,4324707,3373724,Reserve,F,CF,24,Italy,Empoli
Elseid Hysaj,71153.84615384616,3700000,38461.53846153846,2000000,59286.307692307695,3082888,32046.653846153848,1666426,80554.86538461539,4188853,43543.17307692308,2264245,4-yrs,14800000,8000000,12331552,6665704,16755410,9056978,Reserve,D,RB,28,Albania,Lazio
Merih Demiral,71153.84615384616,3700000,38461.53846153846,2000000,59286.307692307695,3082888,32046.653846153848,1666426,80554.86538461539,4188853,43543.17307692308,2264245,1-yr,3700000,2000000,3082888,1666426,4188853,2264245,Starter,D,CB,23,Turkey,Atalanta
Danilo D&#39;Ambrosio,71153.84615384616,3700000,38461.53846153846,2000000,59286.307692307695,3082888,32046.653846153848,1666426,80554.86538461539,4188853,43543.17307692308,2264245,1-yr,3700000,2000000,3082888,1666426,4188853,2264245,Reserve,D,RB,33,Italy,Inter Milan
Viktor Kovalenko,71153.84615384616,3700000,38461.53846153846,2000000,59286.307692307695,3082888,32046.653846153848,1666426,80554.86538461539,4188853,43543.17307692308,2264245,1-yr,3700000,2000000,3082888,1666426,4188853,2264245,Reserve,F,AM,25,Ukraine,Spezia
Mattia Zaccagni,71153.84615384616,3700000,38461.53846153846,2000000,59286.307692307695,3082888,32046.653846153848,1666426,80554.86538461539,4188853,43543.17307692308,2264245,1-yr,3700000,2000000,3082888,1666426,4188853,2264245,Starter,F,AM,26,Italy,Lazio
Andrea Conti,71153.84615384616,3700000,38461.53846153846,2000000,59286.307692307695,3082888,32046.653846153848,1666426,80554.86538461539,4188853,43543.17307692308,2264245,1-yr,3700000,2000000,3082888,1666426,4188853,2264245,Reserve,D,RB,27,Italy,Sampdoria
Pepe Reina,71153.84615384616,3700000,38461.53846153846,2000000,59286.307692307695,3082888,32046.653846153848,1666426,80554.86538461539,4188853,43543.17307692308,2264245,1-yr,3700000,2000000,3082888,1666426,4188853,2264245,Reserve,K,GK,39,Spain,Lazio
Gianluca Mancini,71153.84615384616,3700000,38461.53846153846,2000000,59286.307692307695,3082888,32046.653846153848,1666426,80554.86538461539,4188853,43543.17307692308,2264245,3-yrs,11100000,6000000,9248664,4999278,12566558,6792734,Starter,D,CB,25,Italy,Roma
Stefano Sensi,71153.84615384616,3700000,38461.53846153846,2000000,59286.307692307695,3082888,32046.653846153848,1666426,80554.86538461539,4188853,43543.17307692308,2264245,1-yr,3700000,2000000,3082888,1666426,4188853,2264245,Starter,M,CM,26,Italy,Sampdoria
Andrea Belotti,71153.84615384616,3700000,38461.53846153846,2000000,59286.307692307695,3082888,32046.653846153848,1666426,80554.86538461539,4188853,43543.17307692308,2264245,1-yr,3700000,2000000,3082888,1666426,4188853,2264245,Reserve,F,CF,28,Italy,Torino
Salvatore Sirigu,71153.84615384616,3700000,38461.53846153846,2000000,59286.307692307695,3082888,32046.653846153848,1666426,80554.86538461539,4188853,43543.17307692308,2264245,1-yr,3700000,2000000,3082888,1666426,4188853,2264245,Starter,K,GK,35,Italy,Genoa
Davide Calabria,71153.84615384616,3700000,38461.53846153846,2000000,59286.307692307695,3082888,32046.653846153848,1666426,80554.86538461539,4188853,43543.17307692308,2264245,4-yrs,14800000,8000000,12331552,6665704,16755410,9056978,Starter,D,RB,25,Italy,AC Milan
Mattia Caldara,71153.84615384616,3700000,38461.53846153846,2000000,59286.307692307695,3082888,32046.653846153848,1666426,80554.86538461539,4188853,43543.17307692308,2264245,1-yr,3700000,2000000,3082888,1666426,4188853,2264245,Starter,D,CB,27,Italy,Venezia
Mike Maignan,69038.46153846153,3590000,53846.153846153844,2800000,57523.75,2991235,44865.307692307695,2332996,78159.98076923077,4064319,60960.42307692308,3169942,5-yrs,17950000,14000000,14956173,11664982,20321595,15849712,Starter,K,GK,26,France,AC Milan
Marko Arnautovic,66538.46153846153,3460000,51923.07692307692,2700000,55440.71153846154,2882917,43262.980769230766,2249675,75329.67307692308,3917143,58783.269230769234,3056730,2-yrs,6920000,5400000,5765834,4499350,7834286,6113460,Starter,F,CF,32,Austria,Bologna
Rui Patrício,66538.46153846153,3460000,51923.07692307692,2700000,55440.71153846154,2882917,43262.980769230766,2249675,75329.67307692308,3917143,58783.269230769234,3056730,3-yrs,10380000,8100000,8648751,6749025,11751429,9170191,Starter,K,GK,33,Portugal,Roma
Duván Zapata,64038.46153846154,3330000,34615.38461538462,1800000,53357.67307692308,2774599,28841.98076923077,1499783,72499.36538461539,3769967,39188.846153846156,2037820,2-yrs,6660000,3600000,5549198,2999567,7539935,4075640,Starter,F,CF,30,Colombia,Atalanta
Andrea Petagna,64038.46153846154,3330000,34615.38461538462,1800000,53357.67307692308,2774599,28841.98076923077,1499783,72499.36538461539,3769967,39188.846153846156,2037820,3-yrs,9990000,5400000,8323798,4499350,11309902,6113460,Reserve,F,CF,26,Italy,Napoli
Andrea Ranocchia,64038.46153846154,3330000,34615.38461538462,1800000,53357.67307692308,2774599,28841.98076923077,1499783,72499.36538461539,3769967,39188.846153846156,2037820,1-yr,3330000,1800000,2774599,1499783,3769967,2037820,Reserve,D,CB,33,Italy,Inter Milan
Bremer,64038.46153846154,3330000,34615.38461538462,1800000,53357.67307692308,2774599,28841.98076923077,1499783,72499.36538461539,3769967,39188.846153846156,2037820,3-yrs,9990000,5400000,8323798,4499350,11309902,6113460,Starter,D,CB,24,Brazil,Torino
Bryan Cristante,64038.46153846154,3330000,34615.38461538462,1800000,53357.67307692308,2774599,28841.98076923077,1499783,72499.36538461539,3769967,39188.846153846156,2037820,3-yrs,9990000,5400000,8323798,4499350,11309902,6113460,Reserve,M,CM,26,Italy,Roma
Domenico Berardi,64038.46153846154,3330000,34615.38461538462,1800000,53357.67307692308,2774599,28841.98076923077,1499783,72499.36538461539,3769967,39188.846153846156,2037820,3-yrs,9990000,5400000,8323798,4499350,11309902,6113460,Starter,F,RW,27,Italy,Sassuolo
Josip Ilicic,64038.46153846154,3330000,34615.38461538462,1800000,53357.67307692308,2774599,28841.98076923077,1499783,72499.36538461539,3769967,39188.846153846156,2037820,2-yrs,6660000,3600000,5549198,2999567,7539935,4075640,Reserve,F,SS,34,Slovenia,Atalanta
Marash Kumbulla,64038.46153846154,3330000,34615.38461538462,1800000,53357.67307692308,2774599,28841.98076923077,1499783,72499.36538461539,3769967,39188.846153846156,2037820,4-yrs,13320000,7200000,11098397,5999133,15079869,8151281,Reserve,D,CB,21,Albania,Roma
Weston McKennie,61730.769230769234,3210000,48076.92307692308,2500000,51434.88461538462,2674614,40058.307692307695,2083032,69886.78846153847,3634113,54428.96153846154,2830306,4-yrs,12840000,10000000,10698455,8332130,14536450,11321223,Reserve,M,CM,23,United States,Juventus
Denzel Dumfries,61730.769230769234,3210000,48076.92307692308,2500000,51434.88461538462,2674614,40058.307692307695,2083032,69886.78846153847,3634113,54428.96153846154,2830306,4-yrs,12840000,10000000,10698455,8332130,14536450,11321223,Starter,M,RM,25,Netherlands,Inter Milan
Nadiem Amiri,61730.769230769234,3210000,48076.92307692308,2500000,51434.88461538462,2674614,40058.307692307695,2083032,69886.78846153847,3634113,54428.96153846154,2830306,1-yr,3210000,2500000,2674614,2083032,3634113,2830306,Reserve,F,AM,25,Germany,Genoa
