Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
265,Markel Bergara,es ESP,MF,Getafe,es La Liga,32,1986,0.6,15,21,71.4,247,86,8,11,72.7,5,7,71.4,1,1,100.0,0,0.0,0.0,0,3,1,1,2,Matches
266,Robert Berić,si SVN,FW,Saint-Étienne,fr Ligue 1,27,1991,13.1,137,194,70.6,1730,350,75,100,75.0,40,55,72.7,5,10,50.0,1,1.3,-0.3,9,8,4,1,10,Matches
267,Etrit Berisha,al ALB,GK,Atalanta,it Serie A,29,1989,18.0,343,476,72.1,10986,6980,54,55,98.2,140,142,98.6,148,278,53.2,0,0.0,0.0,0,1,0,0,0,Matches
268,Valon Berisha,xk KVX,MF,Lazio,it Serie A,25,1993,2.2,123,152,80.9,1799,421,75,85,88.2,40,49,81.6,5,12,41.7,0,0.1,-0.1,4,11,2,0,11,Matches
269,Bernard,br BRA,FWMF,Everton,eng Premier League,25,1992,23.5,633,865,73.2,10398,3166,326,381,85.6,232,312,74.4,59,118,50.0,3,3.4,-0.4,40,42,37,10,80,Matches
270,Federico Bernardeschi,it ITA,FWMF,Juventus,it Serie A,24,1994,16.4,548,713,76.9,10130,2486,276,311,88.7,177,213,83.1,88,155,56.8,3,2.8,+0.2,33,37,22,8,53,Matches
271,Bernardo,br BRA,DF,Brighton,eng Premier League,23,1995,19.5,742,1019,72.8,12951,5484,343,390,87.9,316,423,74.7,65,155,41.9,1,1.2,-0.2,10,56,12,3,82,Matches
272,Paul Bernardoni,fr FRA,GK,Nîmes,fr Ligue 1,21,1997,38.0,627,1113,56.3,23900,17715,68,69,98.6,251,256,98.0,308,786,39.2,0,0.3,-0.3,5,23,1,0,0,Matches
273,Juan Bernat,es ESP,DFMF,Paris S-G,fr Ligue 1,25,1993,20.4,1063,1202,88.4,16651,3878,592,635,93.2,400,447,89.5,61,91,67.0,2,3.4,-1.4,23,54,18,5,57,Matches
274,Antoine Bernede,fr FRA,MF,Paris S-G,fr Ligue 1,19,1999,1.9,158,166,95.2,2709,828,62,64,96.9,89,92,96.7,6,9,66.7,0,0.1,-0.1,1,29,1,0,18,Matches
275,Dimitry Bertaud,fr FRA,GK,Montpellier,fr Ligue 1,20,1998,1.0,18,36,50.0,735,535,2,2,100.0,5,5,100.0,11,28,39.3,0,0.0,0.0,0,0,0,0,0,Matches
276,Ryan Bertrand,eng ENG,DF,Southampton,eng Premier League,28,1989,24.0,792,1093,72.5,12963,5947,427,490,87.1,279,383,72.8,63,159,39.6,0,2.2,-2.2,23,65,26,12,78,Matches
277,Daniel Bessa,it ITA,MF,Genoa,it Serie A,25,1993,27.1,899,1106,81.3,15448,3933,449,502,89.4,334,386,86.5,96,162,59.3,3,2.7,+0.3,42,68,37,7,106,Matches
278,Marcus Bettinelli,eng ENG,GK,Fulham,eng Premier League,26,1992,7.0,162,244,66.4,6142,4620,18,18,100.0,63,64,98.4,81,162,50.0,0,0.0,0.0,0,4,0,0,0,Matches
279,Louis Beyer,de GER,DF,M'Gladbach,de Bundesliga,18,2000,8.0,405,465,87.1,8495,2159,120,141,85.1,218,233,93.6,66,81,81.5,0,0.1,-0.1,1,18,0,0,26,Matches
280,Jonathan Biabiany,fr FRA,FWMF,Parma,it Serie A,30,1988,11.9,238,325,73.2,3965,1082,124,157,79.0,86,112,76.8,22,39,56.4,0,0.8,-0.8,9,5,9,3,28,Matches
281,Giulian Biancone,fr FRA,DF,Monaco,fr Ligue 1,18,2000,1.0,35,48,72.9,643,280,16,20,80.0,15,19,78.9,4,8,50.0,0,0.0,0.0,0,1,3,1,3,Matches
282,Ermin Bičakčić,ba BIH,DF,Hoffenheim,de Bundesliga,28,1990,19.9,1033,1171,88.2,19890,7434,346,377,91.8,564,620,91.0,113,156,72.4,2,0.5,+1.5,5,115,6,0,112,Matches
283,Pedro Bigas,es ESP,DF,Eibar,es La Liga,27,1990,6.5,249,307,81.1,6243,1798,52,58,89.7,120,140,85.7,75,105,71.4,1,0.3,+0.7,1,29,2,0,34,Matches
284,Lucas Biglia,ar ARG,MF,Milan,it Serie A,32,1986,12.4,753,825,91.3,14859,3540,300,321,93.5,331,350,94.6,114,137,83.2,0,0.6,-0.6,12,69,7,2,60,Matches
285,Philip Billing,dk DEN,MF,Huddersfield,eng Premier League,22,1996,24.3,926,1262,73.4,18844,5420,377,452,83.4,375,467,80.3,160,298,53.7,0,0.9,-0.9,18,77,25,10,89,Matches
286,Cristiano Biraghi,it ITA,DF,Fiorentina,it Serie A,25,1992,35.5,1379,1958,70.4,26243,10658,545,659,82.7,638,802,79.6,180,442,40.7,4,5.3,-1.3,64,88,59,29,150,Matches
287,Davide Biraschi,it ITA,DF,Genoa,it Serie A,24,1994,31.6,849,1288,65.9,17795,8581,282,339,83.2,417,536,77.8,145,383,37.9,0,0.6,-0.6,7,109,18,5,90,Matches
288,Valter Birsa,si SVN,MFFW,Cagliari,it Serie A,31,1986,3.9,192,244,78.7,3413,879,98,105,93.3,62,78,79.5,32,51,62.7,0,0.8,-0.8,8,16,6,2,14,Matches
