,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
269,Yassine Benzia,dz ALG,MFFW,Lille,fr Ligue 1,22,1994,25.4,1093,1418,77.1,20103,6115,468,556,84.2,459,548,83.8,150,252,59.5,5,5.0,0.0,64,134,42,3,173,Matches
270,Saido Berahino,bi BDI,FW,Stoke City,eng Premier League,23,1993,5.5,75,99,75.8,1198,159,37,47,78.7,33,39,84.6,4,8,50.0,1,0.5,+0.5,3,5,3,1,5,Matches
271,Domenico Berardi,it ITA,FW,Sassuolo,it Serie A,22,1994,25.5,647,979,66.1,11505,3847,301,385,78.2,254,356,71.3,76,185,41.1,2,5.2,-3.2,56,49,38,12,101,Matches
272,Yuri Berchiche,es ESP,DF,Paris S-G,fr Ligue 1,27,1990,19.1,969,1129,85.8,14950,5264,512,562,91.1,380,440,86.4,53,71,74.6,4,2.2,+1.8,18,61,19,8,83,Matches
273,Álex Berenguer,es ESP,FW,Torino,it Serie A,22,1995,11.6,336,467,71.9,4935,1595,200,238,84.0,97,135,71.9,25,61,41.0,3,1.8,+1.2,21,25,15,2,35,Matches
274,Bartosz Bereszyński,pl POL,DF,Sampdoria,it Serie A,25,1992,27.6,1265,1592,79.5,21303,8452,602,674,89.3,532,650,81.8,111,207,53.6,1,0.7,+0.3,12,90,17,7,124,Matches
275,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,eng Premier League,26,1990,31.5,660,1017,64.9,13077,5052,286,357,80.1,238,332,71.7,118,280,42.1,8,4.8,+3.2,66,37,29,15,70,Matches
276,Markel Bergara,es ESP,MF,Getafe,es La Liga,31,1986,16.3,273,387,70.5,4070,1112,148,194,76.3,92,123,74.8,18,44,40.9,1,0.1,+0.9,2,15,3,1,19,Matches
277,Emil Berggreen,dk DEN,FW,Mainz 05,de Bundesliga,24,1993,7.4,98,162,60.5,1203,224,65,95,68.4,20,38,52.6,6,11,54.5,2,0.4,+1.6,6,4,6,0,9,Matches
278,Robert Berić,si SVN,FW,Saint-Étienne,fr Ligue 1,26,1991,11.6,123,181,68.0,1555,210,66,92,71.7,34,49,69.4,5,9,55.6,1,1.1,-0.1,7,4,1,0,4,Matches
279,Kévin Bérigaud,fr FRA,MFFW,Montpellier,fr Ligue 1,29,1988,3.0,57,72,79.2,842,213,34,39,87.2,15,18,83.3,4,7,57.1,2,0.8,+1.2,6,5,3,0,10,Matches
280,Etrit Berisha,al ALB,GK,Atalanta,it Serie A,28,1989,31.0,543,801,67.8,19253,12822,56,57,98.2,205,208,98.6,281,534,52.6,0,0.0,0.0,0,6,0,0,2,Matches
281,Federico Bernardeschi,it ITA,FWMF,Juventus,it Serie A,23,1994,9.4,307,380,80.8,6024,1328,137,149,91.9,118,140,84.3,45,74,60.8,3,2.0,+1.0,13,18,14,2,44,Matches
282,Bernardo,br BRA,DF,RB Leipzig,de Bundesliga,22,1995,15.0,662,892,74.2,11251,4920,321,376,85.4,275,354,77.7,59,136,43.4,1,0.8,+0.2,5,55,12,5,72,Matches
283,Juan Bernat,es ESP,DFFW,Bayern Munich,de Bundesliga,24,1993,9.9,490,541,90.6,7656,1816,283,301,94.0,169,186,90.9,31,38,81.6,2,1.3,+0.7,10,24,9,3,30,Matches
284,Andrea Bertolacci,it ITA,MF,Genoa,it Serie A,26,1991,32.2,1310,1641,79.8,25012,7294,517,611,84.6,608,694,87.6,171,293,58.4,0,2.0,-2.0,26,161,35,1,185,Matches
