,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
347,Pedro Neto,pt POR,MFFW,Wolves,22-010,2000,5,1,133,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.27,0.12,0.39,0.27,0.39,Matches
348,Rúben Neves,pt POR,MF,Wolves,25-006,1997,28,26,2270,25.2,4,2,4,0,0,9,0,0.16,0.08,0.24,0.16,0.24,1.1,1.1,1.7,2.8,0.04,0.07,0.11,0.04,0.11,Matches
349,Jeremy Ngakia,eng ENG,DF,Watford,21-193,2000,13,6,633,7.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.01,0.04,0.05,0.01,0.05,Matches
350,Saúl Ñíguez,es ESP,DFMF,Chelsea,27-118,1994,8,4,345,3.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.4,0.04,0.06,0.10,0.04,0.10,Matches
351,Eddie Nketiah,eng ENG,FWMF,Arsenal,22-293,1999,10,0,112,1.2,0,1,0,0,0,1,0,0.00,0.80,0.80,0.00,0.80,0.4,0.4,0.7,1.1,0.32,0.55,0.87,0.32,0.87,Matches
352,Nicolas Nkoulou,cm CMR,DF,Watford,31-357,1990,3,2,168,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
353,Mark Noble,eng ENG,MF,West Ham,34-315,1987,5,1,126,1.4,1,0,0,1,2,0,0,0.71,0.00,0.71,0.00,0.00,1.5,0.0,0.2,0.2,1.09,0.14,1.22,0.00,0.14,Matches
354,Mathias Normann,no NOR,MF,Norwich City,25-295,1996,16,13,1069,11.9,1,1,1,0,0,4,0,0.08,0.08,0.17,0.08,0.17,0.8,0.8,0.4,1.2,0.06,0.04,0.10,0.06,0.10,Matches
355,Christian Nørgaard,dk DEN,MF,Brentford,28-009,1994,28,28,2444,27.2,2,2,2,0,0,6,0,0.07,0.07,0.15,0.07,0.15,2.8,2.8,2.2,5.0,0.10,0.08,0.18,0.10,0.18,Matches
356,Angelo Ogbonna,it ITA,DF,West Ham,33-300,1988,11,11,921,10.2,1,0,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,0.3,0.3,0.0,0.3,0.03,0.00,0.03,0.03,0.03,Matches
357,Michael Olise,fr FRA,FWMF,Crystal Palace,20-097,2001,22,10,971,10.8,2,5,2,0,0,3,0,0.19,0.46,0.65,0.19,0.65,1.2,1.2,3.0,4.2,0.11,0.27,0.39,0.11,0.39,Matches
358,Andrew Omobamidele,ie IRL,DF,Norwich City,19-269,2002,5,4,382,4.2,1,0,1,0,0,1,0,0.24,0.00,0.24,0.24,0.24,0.3,0.3,0.0,0.3,0.08,0.00,0.08,0.08,0.08,Matches
359,Tyler Onyango,eng ENG,MFFW,Everton,19-015,2003,3,0,28,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.10,0.00,0.10,0.10,0.10,Matches
360,Frank Onyeka,ng NGA,MF,Brentford,24-077,1998,20,12,1045,11.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.2,1.3,0.10,0.02,0.11,0.10,0.11,Matches
361,Divock Origi,be BEL,FW,Liverpool,26-335,1995,5,0,76,0.8,2,0,2,0,0,0,0,2.37,0.00,2.37,2.37,2.37,0.8,0.8,0.0,0.8,1.01,0.00,1.01,1.01,1.01,Matches
362,Alex Oxlade-Chamberlain,eng ENG,MFFW,Liverpool,28-216,1993,17,9,785,8.7,2,1,2,0,0,0,0,0.23,0.11,0.34,0.23,0.34,1.2,1.2,0.9,2.1,0.14,0.11,0.24,0.14,0.24,Matches
363,Cole Palmer,eng ENG,FWMF,Manchester City,19-317,2002,4,1,123,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.23,0.17,0.39,0.23,0.39,Matches
364,Emerson Palmieri,it ITA,DF,Chelsea,27-228,1994,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
365,Thomas Partey,gh GHA,MF,Arsenal,28-279,1993,22,21,1864,20.7,2,1,2,0,0,4,0,0.10,0.05,0.14,0.10,0.14,2.4,2.4,1.2,3.6,0.11,0.06,0.17,0.11,0.17,Matches
366,João Pedro,br BRA,FWMF,Watford,20-174,2001,20,8,1021,11.3,2,1,2,0,0,1,0,0.18,0.09,0.26,0.18,0.26,2.3,2.3,2.0,4.3,0.20,0.18,0.38,0.20,0.38,Matches
367,Nicolas Pépé,ci CIV,FWMF,Arsenal,26-294,1995,14,5,582,6.5,1,1,1,0,0,0,0,0.15,0.15,0.31,0.15,0.31,2.5,2.5,1.6,4.2,0.39,0.25,0.64,0.39,0.64,Matches
368,Ricardo Pereira,pt POR,DF,Leicester City,28-164,1993,12,12,880,9.8,1,2,1,0,0,3,0,0.10,0.20,0.31,0.10,0.31,0.7,0.7,1.2,1.8,0.07,0.12,0.19,0.07,0.19,Matches
369,Ayoze Pérez,es ESP,FWMF,Leicester City,28-239,1993,8,3,220,2.4,0,2,0,0,0,0,1,0.00,0.82,0.82,0.00,0.82,1.0,1.0,0.7,1.7,0.43,0.27,0.69,0.43,0.69,Matches
370,Sonny Perkins,eng ENG,FW,West Ham,18-037,2004,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
371,Romain Perraud,fr FRA,DF,Southampton,24-178,1997,15,14,1209,13.4,0,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,0.7,0.7,0.5,1.1,0.05,0.04,0.09,0.05,0.09,Matches
372,Kalvin Phillips,eng ENG,MF,Leeds United,26-107,1995,12,12,999,11.1,0,1,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,0.5,0.5,0.2,0.7,0.05,0.02,0.06,0.05,0.06,Matches
373,Jaden Philogene Bidace,eng ENG,FW,Aston Villa,19-305,2002,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
374,Jordan Pickford,eng ENG,GK,Everton,28-012,1994,25,25,2250,25.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matches
375,Erik Pieters,nl NED,DF,Burnley,33-224,1988,11,8,711,7.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.02,0.00,0.02,0.02,0.02,Matches
376,Ethan Pinnock,jm JAM,DF,Brentford,28-294,1993,28,28,2404,26.7,1,1,1,0,0,0,0,0.04,0.04,0.07,0.04,0.07,1.5,1.5,1.2,2.8,0.06,0.05,0.10,0.06,0.10,Matches
377,Daniel Podence,pt POR,FWMF,Wolves,26-149,1995,24,14,1401,15.6,2,3,2,0,0,2,0,0.13,0.19,0.32,0.13,0.32,1.8,1.8,3.7,5.5,0.12,0.23,0.35,0.12,0.35,Matches
378,Paul Pogba,fr FRA,MFFW,Manchester Utd,29-004,1993,16,13,1138,12.6,1,9,1,0,0,6,1,0.08,0.71,0.79,0.08,0.79,2.4,2.4,3.5,5.9,0.19,0.28,0.47,0.19,0.47,Matches
379,Nick Pope,eng ENG,GK,Burnley,29-334,1992,25,25,2250,25.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.01,0.01,0.00,0.01,Matches
380,Teemu Pukki,fi FIN,FW,Norwich City,31-355,1990,28,28,2445,27.2,8,2,5,3,3,4,0,0.29,0.07,0.37,0.18,0.26,7.4,5.2,1.5,6.7,0.27,0.06,0.33,0.19,0.25,Matches
381,Christian Pulisic,us USA,MFFW,Chelsea,23-182,1998,15,10,949,10.5,4,1,4,0,0,2,0,0.38,0.09,0.47,0.38,0.47,3.6,3.6,0.7,4.3,0.34,0.07,0.41,0.34,0.41,Matches
382,Przemysław Płacheta,pl POL,FWMF,Norwich City,23-361,1998,9,6,443,4.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.8,0.10,0.06,0.16,0.10,0.16,Matches
383,Jesuran Rak Sakyi,eng ENG,MF,Crystal Palace,19-165,2002,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
384,Aaron Ramsdale,eng ENG,GK,Arsenal,23-309,1998,24,24,2160,24.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
385,Jacob Ramsey,eng ENG,MF,Aston Villa,20-295,2001,26,22,1862,20.7,6,1,6,0,0,4,0,0.29,0.05,0.34,0.29,0.34,3.1,3.1,1.9,5.0,0.15,0.09,0.24,0.15,0.24,Matches
386,Marcus Rashford,eng ENG,FWMF,Manchester Utd,24-139,1997,19,10,937,10.4,4,2,4,0,0,2,0,0.38,0.19,0.58,0.38,0.58,2.3,2.3,2.0,4.3,0.22,0.19,0.41,0.22,0.41,Matches
387,Milot Rashica,xk KVX,FWMF,Norwich City,25-264,1996,23,17,1618,18.0,1,2,1,0,0,0,0,0.06,0.11,0.17,0.06,0.17,2.0,2.0,2.0,4.1,0.11,0.11,0.23,0.11,0.23,Matches
388,David Raya,es ESP,GK,Brentford,26-185,1995,15,15,1350,15.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
389,Nathan Redmond,eng ENG,MFFW,Southampton,28-013,1994,20,15,1357,15.1,0,5,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,1.8,1.8,3.6,5.5,0.12,0.24,0.36,0.12,0.36,Matches
390,Sergio Reguilón,es ESP,DF,Tottenham,25-093,1996,22,20,1669,18.5,2,3,2,0,0,4,0,0.11,0.16,0.27,0.11,0.27,2.8,2.8,3.9,6.7,0.15,0.21,0.36,0.15,0.36,Matches
391,Declan Rice,eng ENG,MF,West Ham,23-064,1999,27,27,2430,27.0,1,4,1,0,0,7,0,0.04,0.15,0.19,0.04,0.19,0.8,0.8,1.8,2.6,0.03,0.07,0.09,0.03,0.09,Matches
392,Taylor Richards,eng ENG,MFFW,Brighton,21-105,2000,2,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.14,0.00,0.14,0.14,0.14,Matches
393,Richarlison,br BRA,FWMF,Everton,24-313,1997,20,18,1635,18.2,4,3,4,0,0,6,0,0.22,0.17,0.39,0.22,0.39,4.2,4.2,1.9,6.1,0.23,0.10,0.34,0.23,0.34,Matches
394,Jaïro Riedewald,nl NED,MF,Crystal Palace,25-191,1996,3,1,118,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.06,0.06,0.00,0.06,Matches
395,Matt Ritchie,sct SCO,DF,Newcastle Utd,32-190,1989,16,14,1318,14.6,0,2,0,0,0,5,0,0.00,0.14,0.14,0.00,0.14,0.4,0.4,1.6,2.1,0.03,0.11,0.14,0.03,0.14,Matches
396,Connor Roberts,wls WAL,DF,Burnley,26-177,1995,11,10,916,10.2,0,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,0.1,0.1,0.3,0.4,0.01,0.03,0.04,0.01,0.04,Matches
397,Tyler Roberts,wls WAL,MFFW,Leeds United,23-066,1999,23,7,987,11.0,1,1,1,0,0,5,0,0.09,0.09,0.18,0.09,0.18,2.4,2.4,1.2,3.7,0.22,0.11,0.34,0.22,0.34,Matches
398,Andrew Robertson,sct SCO,DF,Liverpool,28-008,1994,22,22,1934,21.5,1,10,1,0,0,4,1,0.05,0.47,0.51,0.05,0.51,1.4,1.4,4.9,6.3,0.07,0.23,0.29,0.07,0.29,Matches
399,Joe Rodon,wls WAL,DF,Tottenham,24-148,1997,1,0,79,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
400,Rodri,es ESP,MF,Manchester City,25-270,1996,24,24,2102,23.4,3,1,3,0,0,5,0,0.13,0.04,0.17,0.13,0.17,1.6,1.6,1.2,2.8,0.07,0.05,0.12,0.07,0.12,Matches
401,Rodrigo,es ESP,MFFW,Leeds United,31-013,1991,23,20,1629,18.1,5,1,4,1,1,8,0,0.28,0.06,0.33,0.22,0.28,3.9,3.1,3.8,6.9,0.21,0.21,0.42,0.17,0.38,Matches
402,Jay Rodriguez,eng ENG,FW,Burnley,32-233,1989,23,8,946,10.5,1,2,1,0,0,3,0,0.10,0.19,0.29,0.10,0.29,2.5,2.5,1.8,4.4,0.24,0.18,0.42,0.24,0.42,Matches
403,Mads Roerslev,dk DEN,DF,Brentford,22-268,1999,15,9,921,10.2,1,1,1,0,0,1,0,0.10,0.10,0.20,0.10,0.20,0.3,0.3,0.6,0.9,0.03,0.06,0.09,0.03,0.09,Matches
404,Cristian Romero,ar ARG,DF,Tottenham,23-326,1998,15,14,1214,13.5,1,0,1,0,0,8,0,0.07,0.00,0.07,0.07,0.07,0.6,0.6,0.3,0.9,0.04,0.02,0.07,0.04,0.07,Matches
405,Oriol Romeu,es ESP,MF,Southampton,30-176,1991,27,27,2314,25.7,1,1,1,0,0,8,0,0.04,0.04,0.08,0.04,0.08,0.9,0.9,2.1,3.0,0.04,0.08,0.12,0.04,0.12,Matches
406,Cristiano Ronaldo,pt POR,FW,Manchester Utd,37-042,1985,24,21,1916,21.3,12,3,10,2,2,5,0,0.56,0.14,0.70,0.47,0.61,13.3,11.8,2.7,14.5,0.63,0.13,0.75,0.55,0.68,Matches
407,Salomón Rondón,ve VEN,FW,Everton,32-184,1989,14,8,715,7.9,1,0,1,0,0,2,0,0.13,0.00,0.13,0.13,0.13,2.0,2.0,0.6,2.6,0.26,0.08,0.33,0.26,0.33,Matches
408,Danny Rose,eng ENG,DF,Watford,31-260,1990,8,7,689,7.7,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.8,0.9,0.02,0.10,0.12,0.02,0.12,Matches
409,Jon Rowe,eng ENG,FWMF,Norwich City,18-323,2003,7,0,104,1.2,0,1,0,0,0,0,0,0.00,0.87,0.87,0.00,0.87,0.2,0.2,0.2,0.4,0.21,0.14,0.35,0.21,0.35,Matches
410,Antonio Rüdiger,de GER,DF,Chelsea,29-016,1993,26,26,2340,26.0,2,0,2,0,0,6,0,0.08,0.00,0.08,0.08,0.08,1.9,1.9,1.1,2.9,0.07,0.04,0.11,0.07,0.11,Matches
411,Lukas Rupp,de GER,MF,Norwich City,31-070,1991,13,6,586,6.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,1.2,1.9,0.11,0.18,0.28,0.11,0.28,Matches
412,José Sá,pt POR,GK,Wolves,29-061,1993,30,30,2700,30.0,0,1,0,0,0,3,0,0.00,0.03,0.03,0.00,0.03,0.0,0.0,1.0,1.0,0.00,0.03,0.03,0.00,0.03,Matches
413,Allan Saint-Maximin,fr FRA,FWMF,Newcastle Utd,25-007,1997,26,22,2044,22.7,5,3,5,0,0,4,0,0.22,0.13,0.35,0.22,0.35,4.0,4.0,4.5,8.6,0.18,0.20,0.38,0.18,0.38,Matches
414,Romain Saïss,ma MAR,DF,Wolves,31-358,1990,28,28,2468,27.4,2,0,2,0,0,5,0,0.07,0.00,0.07,0.07,0.07,2.3,2.3,0.3,2.5,0.08,0.01,0.09,0.08,0.09,Matches
415,Bukayo Saka,eng ENG,FWMF,Arsenal,20-195,2001,27,25,2068,23.0,8,5,8,0,0,4,0,0.35,0.22,0.57,0.35,0.57,6.2,6.2,4.8,10.9,0.27,0.21,0.48,0.27,0.48,Matches
416,Mohamed Salah,eg EGY,FW,Liverpool,29-277,1992,27,25,2260,25.1,20,10,15,5,6,1,0,0.80,0.40,1.19,0.60,1.00,18.9,14.1,8.5,22.7,0.75,0.34,1.09,0.56,0.90,Matches
417,Mohammed Salisu,gh GHA,DF,Southampton,22-336,1999,27,26,2342,26.0,0,0,0,0,0,10,1,0.00,0.00,0.00,0.00,0.00,1.7,1.7,0.5,2.2,0.07,0.02,0.08,0.07,0.08,Matches
418,Albert Sambi Lokonga,be BEL,MF,Arsenal,22-148,1999,14,10,909,10.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.6,1.1,0.05,0.06,0.11,0.05,0.11,Matches
419,Davinson Sánchez,co COL,DF,Tottenham,25-280,1996,18,14,1331,14.8,2,0,2,0,0,4,0,0.14,0.00,0.14,0.14,0.14,2.0,2.0,0.1,2.2,0.14,0.01,0.15,0.14,0.15,Matches
420,Robert Sánchez,es ESP,GK,Brighton,24-121,1997,28,28,2519,28.0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.01,0.01,0.00,0.01,Matches
421,Jadon Sancho,eng ENG,FWMF,Manchester Utd,21-359,2000,24,16,1495,16.6,3,3,3,0,0,0,0,0.18,0.18,0.36,0.18,0.36,2.9,2.9,3.8,6.7,0.17,0.23,0.40,0.17,0.40,Matches
422,Morgan Sanson,fr FRA,MF,Aston Villa,27-213,1994,9,2,285,3.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
423,Samir Santos,br BRA,DF,Watford,27-104,1994,11,11,989,11.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.02,0.00,0.02,0.02,0.02,Matches
424,Josh Sargent,us USA,FWMF,Norwich City,22-027,2000,25,18,1558,17.3,2,1,2,0,0,1,0,0.12,0.06,0.17,0.12,0.17,2.7,2.7,0.7,3.5,0.16,0.04,0.20,0.16,0.20,Matches
425,Jeremy Sarmiento,ec ECU,FW,Brighton,19-276,2002,2,1,21,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
426,Ismaila Sarr,sn SEN,FWMF,Watford,24-022,1998,16,15,1344,14.9,5,1,5,0,1,2,0,0.33,0.07,0.40,0.33,0.40,3.5,2.8,2.2,5.0,0.24,0.15,0.38,0.19,0.33,Matches
427,Malang Sarr,fr FRA,DF,Chelsea,23-055,1999,5,5,420,4.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.4,0.01,0.07,0.08,0.01,0.08,Matches
428,Dane Scarlett,eng ENG,MF,Tottenham,17-360,2004,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
429,Fabian Schär,ch SUI,DF,Newcastle Utd,30-089,1991,19,19,1690,18.8,1,2,1,0,0,3,0,0.05,0.11,0.16,0.05,0.16,1.2,1.2,0.4,1.6,0.06,0.02,0.09,0.06,0.09,Matches
430,Jeffrey Schlupp,gh GHA,MFFW,Crystal Palace,29-086,1992,23,14,1292,14.4,3,1,3,0,0,1,0,0.21,0.07,0.28,0.21,0.28,1.9,1.9,1.1,3.0,0.13,0.07,0.21,0.13,0.21,Matches
431,Kasper Schmeichel,dk DEN,GK,Leicester City,35-134,1986,26,26,2340,26.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
432,Ken Sema,se SWE,MFFW,Watford,28-170,1993,14,4,553,6.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.6,0.7,0.01,0.10,0.11,0.01,0.11,Matches
433,Nélson Semedo,pt POR,DF,Wolves,28-123,1993,23,23,1989,22.1,0,1,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,1.3,1.3,1.1,2.4,0.06,0.05,0.11,0.06,0.11,Matches
434,Ryan Sessegnon,eng ENG,DFMF,Tottenham,21-305,2000,9,7,537,6.0,0,1,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,0.2,0.2,0.8,0.9,0.03,0.13,0.16,0.03,0.16,Matches
435,Jamie Shackleton,eng ENG,DFMF,Leeds United,22-162,1999,13,7,686,7.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.02,0.01,0.03,0.02,0.03,Matches
436,Luke Shaw,eng ENG,DF,Manchester Utd,26-250,1995,19,18,1556,17.3,0,3,0,0,0,7,0,0.00,0.17,0.17,0.00,0.17,0.2,0.2,3.1,3.3,0.01,0.18,0.19,0.01,0.19,Matches
437,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,30-020,1992,19,17,1533,17.0,2,1,2,0,0,7,1,0.12,0.06,0.18,0.12,0.18,0.8,0.8,0.7,1.5,0.05,0.04,0.09,0.05,0.09,Matches
438,Francisco Sierralta,cl CHI,DF,Watford,24-317,1997,5,5,427,4.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
439,Bernardo Silva,pt POR,MFFW,Manchester City,27-221,1994,28,28,2406,26.7,7,2,7,0,0,5,0,0.26,0.07,0.34,0.26,0.34,6.4,6.4,4.5,10.9,0.24,0.17,0.41,0.24,0.41,Matches
440,Fábio Silva,pt POR,FWMF,Wolves,19-243,2002,17,2,265,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.1,1.1,0.33,0.03,0.36,0.33,0.36,Matches
441,Thiago Silva,br BRA,DF,Chelsea,37-178,1984,23,20,1913,21.3,3,0,3,0,0,2,0,0.14,0.00,0.14,0.14,0.14,0.7,0.7,0.1,0.8,0.03,0.01,0.04,0.03,0.04,Matches
442,Ellis Simms,eng ENG,FW,Everton,21-073,2001,1,1,61,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
443,Moussa Sissoko,fr FRA,MF,Watford,32-215,1989,27,27,2410,26.8,2,1,2,0,0,4,0,0.07,0.04,0.11,0.07,0.11,2.4,2.4,2.4,4.8,0.09,0.09,0.18,0.09,0.18,Matches
444,Oliver Skipp,eng ENG,MF,Tottenham,21-184,2000,18,14,1350,15.0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.9,1.1,0.01,0.06,0.07,0.01,0.07,Matches
445,William Smallbone,ie IRL,MFFW,Southampton,22-026,2000,2,2,114,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.06,0.07,0.14,0.06,0.14,Matches
446,Emile Smith Rowe,eng ENG,MFFW,Arsenal,21-234,2000,23,15,1416,15.7,9,2,9,0,0,0,0,0.57,0.13,0.70,0.57,0.70,3.9,3.9,2.0,5.9,0.25,0.13,0.37,0.25,0.37,Matches
447,Cédric Soares,pt POR,DF,Arsenal,30-200,1991,10,8,742,8.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.6,0.02,0.05,0.07,0.02,0.07,Matches
448,Tomáš Souček,cz CZE,MF,West Ham,27-020,1995,27,27,2418,26.9,4,1,4,0,0,2,0,0.15,0.04,0.19,0.15,0.19,4.2,3.8,1.4,5.2,0.16,0.05,0.21,0.14,0.19,Matches
449,Boubakary Soumaré,fr FRA,MF,Leicester City,23-020,1999,17,11,1024,11.4,0,1,0,0,0,0,0,0.00,0.09,0.09,0.00,0.09,0.4,0.4,0.2,0.6,0.04,0.02,0.06,0.04,0.06,Matches
450,Çağlar Söyüncü,tr TUR,DF,Leicester City,25-300,1996,23,23,2047,22.7,1,0,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,1.4,1.4,0.1,1.5,0.06,0.01,0.07,0.06,0.07,Matches
451,Jason Steele,eng ENG,GK,Brighton,31-213,1990,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
452,Jed Steer,eng ENG,GK,Aston Villa,29-177,1992,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
453,Zack Steffen,us USA,GK,Manchester City,26-351,1995,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
454,Dale Stephens,eng ENG,MF,Burnley,32-280,1989,2,1,123,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.02,0.04,0.06,0.02,0.06,Matches
455,Jack Stephens,eng ENG,DF,Southampton,28-051,1994,9,7,631,7.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.04,0.04,0.00,0.04,Matches
456,Raheem Sterling,eng ENG,FW,Manchester City,27-101,1994,23,17,1569,17.4,10,1,8,2,3,1,0,0.57,0.06,0.63,0.46,0.52,10.1,7.6,3.4,10.9,0.58,0.19,0.77,0.43,0.63,Matches
457,Finley Stevens,wls WAL,DF,Brentford,18-343,2003,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.25,0.25,0.00,0.25,Matches
458,John Stones,eng ENG,DF,Manchester City,27-295,1994,11,9,863,9.6,1,0,1,0,0,0,0,0.10,0.00,0.10,0.10,0.10,0.9,0.9,0.1,0.9,0.09,0.01,0.10,0.09,0.10,Matches
459,Pascal Struijk,nl NED,DFMF,Leeds United,22-220,1999,23,20,1783,19.8,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.2,1.3,0.05,0.01,0.06,0.05,0.06,Matches
460,Crysencio Summerville,nl NED,MFFW,Leeds United,20-140,2001,5,0,122,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.19,0.03,0.22,0.19,0.22,Matches
461,Jakob Sørensen,dk DEN,DFMF,Norwich City,24-016,1998,6,4,370,4.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.09,0.00,0.09,0.09,0.09,Matches
462,Japhet Tanganga,eng ENG,DF,Tottenham,22-353,1999,11,10,735,8.2,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.7,0.05,0.05,0.09,0.05,0.09,Matches
