Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Matches
501,Germán Sánchez,es ESP,DF,Granada,35-140,1986,20.4,26,13,18,8,0,14,24,58.3,10,134,49,36.6,76,55,3,26,14,0,12,35,61,119,0,Matches
502,Juan Sánchez,es ESP,MF,Sevilla,18-217,2003,0.1,1,1,1,0,0,0,1,0.0,1,5,1,20.0,4,0,1,1,0,0,1,0,1,0,0,Matches
503,Manuel Sánchez,es ESP,DF,Osasuna,21-208,2000,19.9,55,31,30,17,8,34,71,47.9,37,426,118,27.7,154,191,81,37,4,0,33,29,84,32,0,Matches
504,Oier Sanjurjo,es ESP,MF,Osasuna,35-299,1986,5.5,10,8,3,6,1,3,14,21.4,11,107,30,28.0,31,61,15,8,4,0,4,2,12,7,0,Matches
505,Sergio Santos,es ESP,DF,Real Madrid,21-076,2001,0.1,0,0,0,0,0,0,0,,0,1,1,100.0,0,1,0,0,0,0,0,0,0,0,0,Matches
506,Alvaro Sanz,es ESP,MF,Barcelona,21-034,2001,0.3,0,0,0,0,0,0,0,,0,8,2,25.0,1,5,2,0,0,0,0,1,1,0,0,Matches
507,Joan Sastre Vanrell,es ESP,DF,Mallorca,24-324,1997,2.9,6,4,4,1,1,1,4,25.0,3,30,13,43.3,17,11,2,1,0,0,1,7,13,14,0,Matches
508,Esteban Saveljich,me MNE,DF,Rayo Vallecano,30-304,1991,18.9,20,12,12,8,0,7,12,58.3,5,131,49,37.4,66,63,2,29,12,0,17,22,42,94,0,Matches
509,Stefan Savić,me MNE,DF,Atlético Madrid,31-071,1991,19.1,34,13,25,7,2,16,27,59.3,11,156,51,32.7,83,58,15,24,9,0,15,22,56,76,1,Matches
510,Valentino Scotta,es ESP,DF,Sevilla,20-222,2001,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,1,1,0,0,Matches
