Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,Matches
90,José Campaña,es ESP,MF,Levante,28-293,1993,14,12,1060,11.8,2,0,2,0,1,4,1,0.17,0.00,0.17,0.17,0.17,1.2,0.4,0.6,1.0,0.10,0.05,0.15,0.03,0.08,Matches
91,Sergio Canales,es ESP,FWMF,Betis,31-032,1991,25,24,2001,22.2,4,6,4,0,0,5,0,0.18,0.27,0.45,0.18,0.45,3.9,3.9,3.9,7.7,0.17,0.17,0.35,0.17,0.35,Matches
92,Álex Cantero,es ESP,FWMF,Levante,21-285,2000,19,2,372,4.1,0,1,0,0,0,1,0,0.00,0.24,0.24,0.00,0.24,1.9,1.9,0.1,2.0,0.45,0.03,0.48,0.45,0.48,Matches
93,Étienne Capoue,fr FRA,MF,Villarreal,33-252,1988,21,20,1688,18.8,1,1,1,0,0,6,0,0.05,0.05,0.11,0.05,0.11,0.4,0.4,0.5,0.9,0.02,0.03,0.05,0.02,0.05,Matches
94,Isaac Carcelen,es ESP,DFMF,Cádiz,28-331,1993,21,16,1414,15.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.8,0.03,0.02,0.05,0.03,0.05,Matches
95,Cárdenas,es ESP,GK,Levante,24-357,1997,16,16,1440,16.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
96,Carlo,es ESP,MF,Villarreal,21-036,2001,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
97,Diego Carlos,br BRA,DF,Sevilla,29-005,1993,25,25,2204,24.5,2,0,2,0,0,3,1,0.08,0.00,0.08,0.08,0.08,2.1,2.1,0.3,2.4,0.09,0.01,0.10,0.09,0.10,Matches
98,Carmona,es ESP,DF,Sevilla,20-050,2002,1,0,24,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
99,Yannick Carrasco,be BEL,DFMF,Atlético Madrid,28-197,1993,25,21,1901,21.1,3,5,3,0,0,5,0,0.14,0.24,0.38,0.14,0.38,2.8,2.8,4.2,7.0,0.13,0.20,0.33,0.13,0.33,Matches
