,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
103,Pietro Ceccaroni,it ITA,DF,Venezia,26-089,1995,24.7,34,18,21,11,2,10,13,76.9,3,235,71,30.2,150,65,20,51,25,1,26,52,86,117,1,Matches
104,Federico Ceccherini,it ITA,DF,Hellas Verona,29-313,1992,19.6,27,22,17,7,3,10,19,52.6,9,219,79,36.1,99,94,26,23,4,0,19,45,72,77,0,Matches
105,Emil Ceide,no NOR,FW,Sassuolo,20-198,2001,0.2,1,0,0,1,0,1,1,100.0,0,3,1,33.3,0,2,1,0,0,0,0,1,2,0,0,Matches
106,Luca Ceppitelli,it ITA,DF,Cagliari,32-221,1989,12.6,17,7,10,7,0,7,16,43.8,9,117,40,34.2,67,45,5,26,13,0,13,30,47,50,0,Matches
107,Damir Ceter,co COL,FW,Cagliari,24-138,1997,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
108,Julian Chabot,de GER,DF,Sampdoria,24-036,1998,5.4,14,7,9,5,0,7,11,63.6,4,80,24,30.0,44,34,2,12,4,1,8,12,26,32,0,Matches
109,Giorgio Chiellini,it ITA,DF,Juventus,37-218,1984,10.5,16,9,10,6,0,6,11,54.5,5,72,30,41.7,51,18,3,23,16,0,7,11,27,53,0,Matches
110,Federico Chiesa,it ITA,MFFW,Juventus,24-146,1997,9.6,23,17,8,9,6,7,21,33.3,14,144,44,30.6,44,52,48,12,0,0,12,8,31,6,0,Matches
111,Vlad Chiricheș,ro ROU,DF,Sassuolo,32-126,1989,21.1,30,15,22,8,0,11,18,61.1,7,205,74,36.1,117,87,1,35,20,0,15,50,80,66,1,Matches
112,Riccardo Ciervo,it ITA,MFDF,Sampdoria,19-353,2002,2.5,7,5,3,3,1,1,5,20.0,4,43,10,23.3,11,20,12,2,0,0,2,5,12,2,0,Matches
113,Giorgio Cittadini,it ITA,DF,Atalanta,19-336,2002,0.0,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,1,1,0,0,Matches
114,Ebrima Colley,gm GAM,FWMF,Spezia,22-047,2000,4.4,7,3,2,3,2,1,6,16.7,5,93,19,20.4,25,42,26,5,0,0,5,7,14,3,0,Matches
115,Omar Colley,gm GAM,DF,Sampdoria,29-147,1992,22.5,47,31,35,10,2,16,28,57.1,12,222,87,39.2,143,71,8,36,16,1,20,80,127,115,2,Matches
116,Andrea Consigli,it ITA,GK,Sassuolo,35-052,1987,29.0,0,0,0,0,0,0,1,0.0,1,7,1,14.3,7,0,0,0,0,0,0,0,0,1,2,Matches
117,Andrea Conti,it ITA,DFMF,Sampdoria,28-018,1994,2.5,7,5,4,2,1,2,4,50.0,2,37,10,27.0,20,14,3,5,0,0,5,4,11,2,0,Matches
118,Andrea Conti,it ITA,DF,Milan,28-018,1994,0.1,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,0,0,0,0,0,0,1,0,Matches
119,Diego Coppola,it ITA,DF,Hellas Verona,18-082,2003,1.1,2,2,2,0,0,1,2,50.0,1,17,6,35.3,5,10,2,2,0,0,2,1,3,5,0,Matches
120,Joaquín Correa,ar ARG,FW,Inter,27-219,1994,6.6,9,3,0,3,6,2,8,25.0,6,121,29,24.0,12,50,59,3,1,0,2,2,11,1,0,Matches
121,Lassana Coulibaly,ml MLI,MF,Salernitana,25-344,1996,18.5,40,29,21,17,2,12,39,30.8,27,335,97,29.0,141,153,41,31,7,0,24,31,71,23,0,Matches
122,Mamadou Coulibaly,sn SEN,MFFW,Salernitana,23-045,1999,8.2,19,9,12,3,4,5,15,33.3,10,173,34,19.7,76,61,36,21,0,0,21,19,38,11,0,Matches
123,Alessio Cragno,it ITA,GK,Cagliari,27-265,1994,27.0,1,1,1,0,0,1,1,100.0,0,5,2,40.0,4,1,0,0,0,0,0,0,1,1,2,Matches
124,Domenico Criscito,it ITA,DF,Genoa,35-080,1986,14.4,29,18,14,14,1,13,21,61.9,8,153,54,35.3,82,57,14,28,9,0,19,34,63,52,0,Matches
125,Bryan Cristante,it ITA,MF,Roma,27-017,1995,23.1,63,44,23,33,7,21,38,55.3,17,479,155,32.4,171,242,66,39,7,0,32,39,102,46,0,Matches
126,Domen Črnigoj,si SVN,MFDF,Venezia,26-122,1995,15.1,18,10,6,8,4,5,17,29.4,12,242,53,21.9,65,116,61,33,6,0,27,36,54,30,0,Matches
127,Giovanni Crociata,it ITA,FW,Empoli,24-221,1997,0.2,0,0,0,0,0,0,2,0.0,2,10,2,20.0,0,5,5,0,0,0,0,0,0,0,0,Matches
128,Juan Cuadrado,co COL,DFMF,Juventus,33-298,1988,22.1,48,25,33,13,2,19,36,52.8,17,248,89,35.9,118,97,33,32,4,0,28,39,87,24,0,Matches
129,Mickaël Cuisance,fr FRA,MF,Venezia,22-216,1999,5.8,10,6,3,6,1,5,14,35.7,9,152,38,25.0,63,70,19,11,0,0,11,15,25,2,0,Matches
130,Patrick Cutrone,it ITA,FW,Empoli,24-076,1998,12.8,5,4,2,1,2,1,4,25.0,3,175,40,22.9,16,74,85,6,1,0,5,7,12,3,0,Matches
131,Danilo D'Ambrosio,it ITA,DF,Inter,33-192,1988,7.8,17,11,9,7,1,5,14,35.7,9,73,30,41.1,34,22,17,21,9,1,12,7,24,17,1,Matches
132,Mikkel Damsgaard,dk DEN,MFFW,Sampdoria,21-260,2000,5.7,17,8,10,4,3,8,24,33.3,16,151,38,25.2,48,65,38,12,1,0,11,9,26,7,0,Matches
133,Danilo,br BRA,DF,Juventus,30-248,1991,15.0,27,16,15,10,2,12,21,57.1,9,104,36,34.6,53,38,13,17,6,0,11,26,53,50,0,Matches
134,Ebrima Darboe,gm GAM,MF,Roma,20-287,2001,0.7,2,2,0,2,0,0,1,0.0,1,10,3,30.0,3,5,2,0,0,0,0,2,4,0,1,Matches
135,Matteo Darmian,it ITA,DF,Inter,32-108,1989,14.3,27,20,16,7,4,12,28,42.9,16,175,56,32.0,66,56,53,22,0,0,22,18,45,17,0,Matches
136,Paweł Dawidowicz,pl POL,DF,Hellas Verona,26-304,1995,13.2,30,19,15,9,6,13,20,65.0,7,217,74,34.1,110,83,24,24,11,0,13,22,52,57,1,Matches
137,Sebastien De Maio,fr FRA,DF,Udinese,35-015,1987,2.0,6,2,5,1,0,1,9,11.1,8,34,12,35.3,21,11,2,6,5,0,1,5,11,6,0,Matches
138,Tommaso De Nipoti,it ITA,MF,Atalanta,18-240,2003,0.1,0,0,0,0,0,0,0,,0,4,0,0.0,0,3,1,0,0,0,0,0,0,0,0,Matches
139,Mattia De Sciglio,it ITA,DF,Juventus,29-151,1992,8.8,14,7,4,6,4,5,14,35.7,9,95,25,26.3,49,30,16,20,1,0,19,19,33,28,0,Matches
