name,weekly_gross_eur,annual_gross_eur,weekly_net_eur,annual_net_eur,weekly_gross_gbp,annual_gross_gbp,weekly_net_gbp,annual_net_gbp,weekly_gross_usd,annual_gross_usd,weekly_net_usd,annual_net_usd,length,total_gross_eur,total_net_eur,total_gross_gbp,total_net_gbp,total_gross_usd,total_net_usd,status,position,position_detail,age,country,club
Arnaud Nordin,11153.846153846154,580000,6153.846153846154,320000,9293.538461538461,483264,5127.461538461538,266628,12627.51923076923,656631,6966.903846153846,362279,1-yr,580000,320000,483264,266628,656631,362279,Reserve,F,LW,23,France,St-Etienne
Benoît Badiashile,11153.846153846154,580000,9615.384615384615,500000,9293.538461538461,483264,8011.653846153846,416606,12627.51923076923,656631,10885.788461538461,566061,3-yrs,1740000,1500000,1449791,1249819,1969893,1698183,Reserve,D,CB,20,France,Monaco
Fabien Lemoine,11153.846153846154,580000,6153.846153846154,320000,9293.538461538461,483264,5127.461538461538,266628,12627.51923076923,656631,6966.903846153846,362279,1-yr,580000,320000,483264,266628,656631,362279,Reserve,M,DM,34,France,Lorient
Majeed Waris,10961.538461538461,570000,5961.538461538462,310000,9133.288461538461,474931,4967.2307692307695,258296,12409.807692307691,645310,6749.192307692308,350958,1-yr,570000,310000,474931,258296,645310,350958,Starter,F,CF,30,Ghana,Strasbourg
Miguel Trauco,10769.23076923077,560000,5961.538461538462,310000,8973.057692307691,466599,4967.2307692307695,258296,12192.076923076924,633988,6749.192307692308,350958,1-yr,560000,310000,466599,258296,633988,350958,Reserve,D,LB,29,Peru,St-Etienne
Quentin Boisgard,10576.923076923076,550000,5769.2307692307695,300000,8812.826923076924,458267,4807,249964,11974.365384615385,622667,6531.4807692307695,339637,2-yrs,1100000,600000,916534,499928,1245335,679273,Starter,F,AM,24,France,Lorient
Batista Mendy,10576.923076923076,550000,5769.2307692307695,300000,8812.826923076924,458267,4807,249964,11974.365384615385,622667,6531.4807692307695,339637,3-yrs,1650000,900000,1374801,749892,1868002,1018910,Starter,M,DM,22,France,Angers
Pedro Mendes,10576.923076923076,550000,5769.2307692307695,300000,8812.826923076924,458267,4807,249964,11974.365384615385,622667,6531.4807692307695,339637,2-yrs,1100000,600000,916534,499928,1245335,679273,Reserve,D,CB,31,Portugal,Montpellier
Sofiane Diop,10576.923076923076,550000,9230.76923076923,480000,8812.826923076924,458267,7691.192307692308,399942,11974.365384615385,622667,10450.365384615385,543419,5-yrs,2750000,2400000,2291336,1999711,3113336,2717094,Starter,F,LW,21,France,Monaco
Alfred Gomis,10576.923076923076,550000,5769.2307692307695,300000,8812.826923076924,458267,4807,249964,11974.365384615385,622667,6531.4807692307695,339637,4-yrs,2200000,1200000,1833069,999856,2490669,1358547,Reserve,K,GK,28,Senegal,Rennes
